sweep,value,backend,params,final_loss,us_per_step,fwd_us,bwd_us,total_ms
d_model,16,scalar,4192,2.0342,48.88,18.0,29.6,48.88
d_model,16,sme2,4192,2.0342,48.06,17.8,29.1,48.06
d_model,32,scalar,14528,2.2975,155.92,53.8,98.2,155.92
d_model,32,sme2,14528,2.2975,157.41,54.2,99.3,157.41
d_model,64,scalar,53632,2.3526,749.03,233.0,502.0,749.03
d_model,64,sme2,53632,2.3650,587.93,142.4,412.3,587.93
d_model,128,scalar,205568,2.2353,3947.95,1235.9,2656.3,3947.95
d_model,128,sme2,205568,2.2194,1876.54,383.1,1133.6,1876.54
n_heads,1,scalar,53632,2.3664,740.37,227.7,498.8,740.37
n_heads,1,sme2,53632,2.3521,589.14,139.0,416.9,589.14
n_heads,2,scalar,53632,2.3989,747.69,231.4,502.3,747.69
n_heads,2,sme2,53632,2.3537,578.50,140.1,405.6,578.50
n_heads,4,scalar,53632,2.3526,757.43,237.9,505.6,757.43
n_heads,4,sme2,53632,2.3650,550.67,132.5,385.1,550.67
n_heads,8,scalar,53632,2.3599,761.86,243.4,504.5,761.86
n_heads,8,sme2,53632,2.3743,601.02,147.9,420.3,601.02
lr,0.001,scalar,53632,2.3526,746.97,233.6,499.5,746.97
lr,0.001,sme2,53632,2.3650,593.38,144.3,415.7,593.38
lr,0.003,scalar,53632,2.3526,748.42,232.8,501.6,748.42
lr,0.003,sme2,53632,2.3650,539.50,130.0,376.7,539.50
lr,0.01,scalar,53632,2.3526,753.94,235.1,504.8,753.94
lr,0.01,sme2,53632,2.3650,538.11,129.8,375.5,538.11
lr,0.03,scalar,53632,2.3526,747.84,232.8,501.2,747.84
lr,0.03,sme2,53632,2.3650,593.01,144.2,415.6,593.01
n_steps,500,scalar,53632,2.0620,746.88,232.8,500.3,373.44
n_steps,500,sme2,53632,2.0792,593.92,143.1,418.0,296.96
n_steps,1000,scalar,53632,2.3526,756.37,235.5,506.9,756.37
n_steps,1000,sme2,53632,2.3650,597.87,145.3,420.3,597.87
n_steps,2000,scalar,53632,2.0195,747.94,232.9,501.2,1495.87
n_steps,2000,sme2,53632,2.0511,589.73,144.6,412.8,1179.45
n_steps,5000,scalar,53632,2.0938,748.84,232.8,502.1,3744.20
n_steps,5000,sme2,53632,2.1806,590.47,146.1,412.2,2952.34
batch,8,scalar,53632,1.9752,384.93,116.1,255.3,384.93
batch,8,sme2,53632,1.9714,308.14,70.7,204.6,308.14
batch,16,scalar,53632,2.3526,747.70,232.7,501.2,747.70
batch,16,sme2,53632,2.3650,589.44,143.0,413.6,589.44
batch,32,scalar,53632,2.0207,1466.14,463.0,989.1,1466.14
batch,32,sme2,53632,2.0006,1160.11,291.6,836.0,1160.11
batch,64,scalar,53632,2.0225,2918.38,931.4,1972.0,2918.38
batch,64,sme2,53632,2.0504,2326.93,580.9,1712.3,2326.93
